time,dew_point_2m (°C),temperature_2m (°C),wind_direction_10m (°),wind_speed_100m (km/h),relative_humidity_2m (%),soil_moisture_0_to_7cm (m³/m³),cloud_cover (%),cloud_cover_high (%),cloud_cover_mid (%),cloud_cover_low (%),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),vapour_pressure_deficit (kPa)
2024-04-01 00:00:00,15.3,21.2,119,24.7,69,0.477,77,77,0,1,0.492,0.479,0.79
2024-04-01 01:00:00,14.2,20.7,108,24.3,66,0.477,0,0,0,0,0.492,0.479,0.82
2024-04-01 02:00:00,13.6,19.8,93,21.0,67,0.477,8,0,8,0,0.491,0.479,0.76
2024-04-01 03:00:00,13.6,19.4,114,22.9,69,0.477,9,3,6,4,0.491,0.479,0.7
2024-04-01 04:00:00,14.1,20.0,122,29.5,69,0.477,52,35,25,6,0.491,0.479,0.72
2024-04-01 05:00:00,14.3,20.3,123,30.2,68,0.477,95,94,12,3,0.49,0.48,0.75
2024-04-01 06:00:00,14.2,20.3,125,28.0,68,0.477,100,100,16,5,0.49,0.48,0.76
2024-04-01 07:00:00,14.7,20.7,122,26.7,69,0.477,99,98,19,2,0.49,0.48,0.77
2024-04-01 08:00:00,16.4,21.9,111,24.9,71,0.476,100,100,11,1,0.489,0.48,0.76
2024-04-01 09:00:00,17.4,23.0,136,34.3,71,0.477,100,100,12,9,0.49,0.48,0.81
2024-04-01 10:00:00,18.4,22.7,136,37.2,77,0.477,100,100,2,3,0.489,0.48,0.64
2024-04-01 11:00:00,19.1,23.0,125,28.9,79,0.479,100,100,39,6,0.489,0.48,0.6
2024-04-01 12:00:00,19.4,23.8,123,25.5,76,0.479,100,100,25,5,0.488,0.48,0.7
2024-04-01 13:00:00,20.4,23.6,117,23.2,82,0.484,100,100,21,1,0.488,0.48,0.52
2024-04-01 14:00:00,21.1,25.2,147,16.5,78,0.483,100,100,90,85,0.488,0.48,0.7
2024-04-01 15:00:00,21.2,24.7,129,20.0,81,0.482,100,100,1,4,0.487,0.48,0.59
2024-04-01 16:00:00,21.4,26.3,124,16.8,74,0.481,84,68,3,48,0.487,0.48,0.87
2024-04-01 17:00:00,21.1,26.2,124,16.9,74,0.48,88,55,33,71,0.486,0.479,0.89
2024-04-01 18:00:00,21.0,22.9,158,19.6,89,0.511,99,92,34,87,0.487,0.479,0.3
2024-04-01 19:00:00,20.3,21.6,134,24.9,92,0.511,100,100,41,96,0.49,0.48,0.2
2024-04-01 20:00:00,20.3,22.4,137,26.2,88,0.507,78,29,57,36,0.491,0.48,0.33
2024-04-01 21:00:00,19.9,20.8,65,11.9,94,0.517,100,100,62,34,0.501,0.479,0.14
2024-04-01 22:00:00,20.2,20.9,127,27.6,95,0.513,100,100,18,93,0.503,0.479,0.11
2024-04-01 23:00:00,19.9,20.8,138,27.8,95,0.509,100,100,20,48,0.504,0.479,0.13
2024-04-02 00:00:00,20.0,20.9,149,33.8,94,0.506,100,100,32,68,0.504,0.479,0.14
2024-04-02 01:00:00,20.0,21.0,123,19.3,94,0.504,100,100,13,39,0.504,0.48,0.14
2024-04-02 02:00:00,19.7,20.0,33,23.2,98,0.52,100,99,83,100,0.52,0.48,0.04
2024-04-02 03:00:00,19.5,20.3,55,23.8,95,0.504,100,100,48,100,0.519,0.495,0.11
2024-04-02 04:00:00,19.8,20.8,142,24.6,94,0.492,100,100,70,93,0.516,0.498,0.14
2024-04-02 05:00:00,19.8,20.9,157,41.5,93,0.499,71,46,2,45,0.514,0.498,0.17
2024-04-02 06:00:00,19.7,21.1,148,41.2,91,0.498,49,25,3,31,0.512,0.499,0.21
2024-04-02 07:00:00,20.4,22.7,169,40.2,87,0.497,8,0,0,8,0.511,0.499,0.35
