time,dew_point_2m (°C),temperature_2m (°C),wind_direction_10m (°),wind_speed_100m (km/h),relative_humidity_2m (%),soil_moisture_0_to_7cm (m³/m³),cloud_cover (%),cloud_cover_high (%),cloud_cover_mid (%),cloud_cover_low (%),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),vapour_pressure_deficit (kPa)
2024-04-01 00:00:00,17.4,20.2,100,20.0,84,0.467,63,62,0,3,0.486,0.47,0.38
2024-04-01 01:00:00,16.5,19.7,93,19.5,82,0.467,3,1,0,2,0.485,0.47,0.42
2024-04-01 02:00:00,15.0,19.2,80,20.6,77,0.468,4,0,4,0,0.485,0.47,0.51
2024-04-01 03:00:00,14.1,19.0,97,21.5,73,0.468,12,2,10,0,0.485,0.47,0.59
2024-04-01 04:00:00,13.9,19.0,121,24.4,73,0.468,47,39,12,8,0.484,0.47,0.6
2024-04-01 05:00:00,14.1,19.6,124,27.6,71,0.468,84,81,17,7,0.484,0.47,0.67
2024-04-01 06:00:00,14.2,19.6,111,25.3,71,0.468,99,98,14,6,0.484,0.47,0.65
2024-04-01 07:00:00,14.8,20.0,109,22.2,72,0.468,100,100,18,11,0.483,0.471,0.66
2024-04-01 08:00:00,16.3,21.4,92,23.0,73,0.468,99,99,4,5,0.483,0.471,0.7
2024-04-01 09:00:00,17.3,22.9,132,25.8,71,0.464,100,100,14,14,0.482,0.471,0.82
2024-04-01 10:00:00,18.0,23.2,137,30.8,72,0.464,100,100,8,6,0.481,0.471,0.79
2024-04-01 11:00:00,19.0,23.3,127,26.1,77,0.466,100,100,31,5,0.481,0.471,0.66
2024-04-01 12:00:00,19.2,24.2,131,24.0,73,0.466,100,100,12,7,0.48,0.471,0.8
2024-04-01 13:00:00,19.6,24.8,129,25.3,73,0.466,100,100,33,3,0.48,0.471,0.84
2024-04-01 14:00:00,20.5,25.7,153,25.4,73,0.465,100,100,77,39,0.479,0.471,0.89
2024-04-01 15:00:00,21.1,24.7,147,16.9,80,0.469,96,95,10,14,0.479,0.471,0.61
2024-04-01 16:00:00,21.5,26.1,131,17.8,76,0.467,100,52,2,100,0.478,0.471,0.83
2024-04-01 17:00:00,21.4,26.2,140,19.7,75,0.467,96,23,26,94,0.478,0.471,0.85
2024-04-01 18:00:00,20.7,23.6,139,33.9,84,0.467,74,13,20,70,0.478,0.471,0.48
2024-04-01 19:00:00,20.2,21.9,130,30.6,90,0.49,84,61,45,40,0.477,0.471,0.27
2024-04-01 20:00:00,19.6,21.3,129,30.1,90,0.501,85,60,48,35,0.494,0.471,0.25
2024-04-01 21:00:00,20.0,21.5,136,28.3,91,0.508,100,100,25,16,0.483,0.47,0.23
2024-04-01 22:00:00,19.8,21.0,129,25.7,93,0.515,100,100,62,65,0.499,0.47,0.17
2024-04-01 23:00:00,19.9,21.0,144,28.7,94,0.51,100,100,16,38,0.501,0.471,0.16
2024-04-02 00:00:00,19.8,21.2,154,34.1,92,0.506,100,100,24,56,0.501,0.471,0.2
2024-04-02 01:00:00,19.9,20.9,99,17.4,94,0.52,100,100,37,73,0.508,0.471,0.15
2024-04-02 02:00:00,19.8,20.1,54,19.1,98,0.52,100,100,100,100,0.52,0.478,0.04
2024-04-02 03:00:00,19.5,20.2,81,20.9,96,0.504,100,100,35,91,0.518,0.49,0.1
2024-04-02 04:00:00,19.6,21.2,158,40.0,91,0.502,100,100,56,28,0.515,0.491,0.23
2024-04-02 05:00:00,19.9,21.5,168,42.6,91,0.501,96,82,11,74,0.514,0.491,0.23
2024-04-02 06:00:00,19.8,21.3,157,42.6,91,0.5,46,35,0,16,0.512,0.492,0.23
2024-04-02 07:00:00,20.2,22.3,172,41.3,88,0.498,15,1,0,13,0.511,0.492,0.32
2024-04-02 08:00:00,21.3,24.6,182,40.8,82,0.497,36,1,8,31,0.51,0.492,0.55
2024-04-02 09:00:00,20.2,21.3,117,19.7,94,0.512,100,95,33,98,0.507,0.517,0.16
2024-04-02 10:00:00,20.0,21.8,132,14.5,90,0.509,100,100,49,96,0.514,0.52,0.27
2024-04-02 11:00:00,19.9,21.5,137,10.9,90,0.52,100,100,79,95,0.491,0.519,0.25
2024-04-02 12:00:00,20.0,21.1,81,7.9,93,0.52,100,100,42,100,0.514,0.52,0.16
2024-04-02 13:00:00,19.9,21.4,144,21.7,91,0.502,100,100,5,100,0.507,0.519,0.22
2024-04-02 14:00:00,20.9,24.7,184,26.3,79,0.5,100,100,8,57,0.505,0.518,0.64
2024-04-02 15:00:00,21.1,24.3,152,26.1,82,0.498,100,100,0,65,0.502,0.518,0.54
2024-04-02 16:00:00,20.7,23.9,156,22.3,83,0.496,43,23,7,19,0.5,0.517,0.52
2024-04-02 17:00:00,21.2,24.2,174,14.3,84,0.494,99,98,43,39,0.498,0.517,0.49
2024-04-02 18:00:00,21.5,23.0,266,7.8,91,0.495,97,97,4,4,0.497,0.517,0.24
2024-04-02 19:00:00,21.0,21.8,167,18.8,95,0.494,100,100,66,26,0.496,0.516,0.12
2024-04-02 20:00:00,19.9,21.2,162,6.6,93,0.498,100,100,8,100,0.495,0.516,0.19
2024-04-02 21:00:00,20.4,20.8,12,20.1,98,0.506,100,100,19,5,0.495,0.519,0.05
2024-04-02 22:00:00,20.1,20.5,360,15.6,98,0.504,100,100,27,51,0.494,0.518,0.06
2024-04-02 23:00:00,20.0,20.3,347,9.4,98,0.501,100,96,63,100,0.493,0.518,0.05
2024-04-03 00:00:00,19.9,20.3,353,9.0,98,0.499,100,100,8,16,0.492,0.517,0.06
2024-04-03 01:00:00,19.5,19.8,329,15.5,98,0.498,81,72,12,25,0.491,0.517,0.04
2024-04-03 02:00:00,19.2,19.7,307,18.8,97,0.496,87,81,7,22,0.49,0.516,0.06
2024-04-03 03:00:00,19.2,19.6,323,20.0,98,0.495,100,100,0,100,0.489,0.516,0.06
2024-04-03 04:00:00,18.4,19.2,352,23.5,95,0.494,100,100,5,100,0.489,0.515,0.11
2024-04-03 05:00:00,17.4,18.4,5,24.9,94,0.493,100,100,1,100,0.488,0.515,0.13
2024-04-03 06:00:00,16.5,17.7,5,26.4,93,0.492,100,100,4,100,0.487,0.515,0.15
2024-04-03 07:00:00,15.7,17.2,1,27.7,91,0.491,100,100,3,100,0.487,0.514,0.18
2024-04-03 08:00:00,15.4,17.2,360,26.3,89,0.49,100,100,0,78,0.486,0.514,0.21
2024-04-03 09:00:00,15.3,17.3,349,22.3,88,0.493,100,100,63,5,0.482,0.513,0.23
2024-04-03 10:00:00,15.5,17.6,351,24.8,87,0.492,100,100,4,40,0.482,0.513,0.25
2024-04-03 11:00:00,15.5,18.6,357,24.1,82,0.49,100,100,32,97,0.482,0.513,0.38
2024-04-03 12:00:00,15.6,19.0,360,23.8,80,0.489,100,99,20,100,0.481,0.512,0.43
2024-04-03 13:00:00,15.7,19.8,1,28.4,77,0.487,100,89,13,100,0.48,0.512,0.53
2024-04-03 14:00:00,15.3,19.4,352,27.6,77,0.485,100,94,50,100,0.48,0.512,0.52
2024-04-03 15:00:00,14.9,18.5,349,30.0,80,0.484,100,56,30,100,0.479,0.511,0.44
2024-04-03 16:00:00,15.0,18.6,357,29.6,80,0.484,100,100,27,100,0.479,0.511,0.43
2024-04-03 17:00:00,14.9,18.5,353,29.7,80,0.483,100,100,93,100,0.478,0.511,0.43
2024-04-03 18:00:00,14.7,18.1,350,27.0,80,0.483,100,100,83,100,0.478,0.511,0.41
2024-04-03 19:00:00,14.7,17.9,355,28.5,82,0.482,100,100,100,100,0.478,0.51,0.37
2024-04-03 20:00:00,14.7,17.7,351,31.2,83,0.489,100,89,100,100,0.477,0.51,0.35
2024-04-03 21:00:00,14.5,16.3,1,25.3,89,0.497,100,98,38,100,0.488,0.518,0.2
2024-04-03 22:00:00,14.5,16.2,350,29.5,90,0.496,100,95,43,100,0.487,0.517,0.19
2024-04-03 23:00:00,14.4,16.3,360,26.3,89,0.495,100,29,47,100,0.486,0.516,0.21
2024-04-04 00:00:00,14.4,16.1,7,23.4,90,0.496,100,31,1,100,0.486,0.516,0.19
2024-04-04 01:00:00,14.4,16.0,355,24.5,90,0.495,100,44,100,100,0.485,0.516,0.18
2024-04-04 02:00:00,14.4,16.0,5,20.7,90,0.494,100,0,100,100,0.485,0.515,0.18
2024-04-04 03:00:00,14.4,16.0,353,23.1,91,0.493,100,20,100,100,0.484,0.515,0.17
2024-04-04 04:00:00,14.3,15.9,352,24.6,91,0.492,100,84,100,100,0.484,0.514,0.17
2024-04-04 05:00:00,14.4,15.6,355,25.9,93,0.495,100,87,100,100,0.483,0.514,0.13
2024-04-04 06:00:00,14.1,15.2,3,26.4,93,0.499,100,100,100,100,0.483,0.514,0.12
2024-04-04 07:00:00,14.1,15.1,5,22.3,93,0.502,100,100,100,100,0.483,0.514,0.11
2024-04-04 08:00:00,14.2,15.2,360,21.3,94,0.506,100,100,100,100,0.484,0.513,0.11
2024-04-04 09:00:00,14.1,15.2,344,18.4,93,0.512,100,100,100,100,0.511,0.517,0.11
2024-04-04 10:00:00,14.5,15.3,331,18.7,95,0.497,100,100,100,100,0.519,0.518,0.09
2024-04-04 11:00:00,14.8,15.3,327,26.9,97,0.498,100,100,100,100,0.519,0.52,0.05
2024-04-04 12:00:00,14.9,15.3,339,30.8,98,0.519,100,100,100,100,0.508,0.519,0.04
2024-04-04 13:00:00,15.0,15.6,338,25.5,97,0.51,100,99,100,73,0.519,0.519,0.06
2024-04-04 14:00:00,14.7,16.7,344,30.9,88,0.511,100,100,100,100,0.517,0.519,0.22
2024-04-04 15:00:00,14.5,16.4,347,32.1,89,0.508,100,0,100,100,0.515,0.518,0.21
2024-04-04 16:00:00,14.3,16.3,350,25.8,88,0.505,100,0,100,100,0.513,0.518,0.23
2024-04-04 17:00:00,13.9,15.8,342,26.0,88,0.504,100,0,100,100,0.51,0.518,0.21
2024-04-04 18:00:00,13.8,15.3,343,27.6,91,0.503,100,0,100,100,0.509,0.517,0.16
2024-04-04 19:00:00,13.6,15.1,344,28.6,91,0.502,100,0,100,99,0.507,0.517,0.16
2024-04-04 20:00:00,13.4,15.0,343,27.9,90,0.5,100,0,100,98,0.505,0.517,0.16
2024-04-04 21:00:00,12.9,14.2,347,26.1,92,0.508,100,1,100,58,0.511,0.516,0.13
2024-04-04 22:00:00,13.0,14.2,349,22.6,92,0.505,99,13,77,96,0.51,0.515,0.12
2024-04-04 23:00:00,13.0,13.9,345,20.1,94,0.503,100,0,91,100,0.509,0.515,0.09
2024-04-05 00:00:00,13.1,14.2,357,22.7,93,0.501,100,0,1,100,0.508,0.515,0.11
2024-04-05 01:00:00,13.1,14.2,5,23.2,93,0.5,100,17,13,100,0.507,0.515,0.11
2024-04-05 02:00:00,13.2,14.2,3,21.4,93,0.499,100,39,93,100,0.506,0.515,0.11
2024-04-05 03:00:00,13.1,14.2,3,23.5,93,0.497,100,99,65,100,0.505,0.515,0.11
2024-04-05 04:00:00,13.0,14.2,4,23.6,92,0.496,100,100,32,100,0.504,0.515,0.12
2024-04-05 05:00:00,13.0,14.2,8,20.4,92,0.495,100,100,100,100,0.503,0.515,0.13
2024-04-05 06:00:00,12.9,14.2,8,18.3,92,0.494,100,100,97,100,0.502,0.514,0.14
2024-04-05 07:00:00,12.8,14.3,4,15.7,91,0.494,100,98,100,100,0.501,0.514,0.15
2024-04-05 08:00:00,12.7,14.6,7,17.6,88,0.494,100,100,74,100,0.5,0.514,0.19
2024-04-05 09:00:00,13.3,14.4,344,11.9,93,0.505,100,100,100,100,0.512,0.515,0.11
2024-04-05 10:00:00,13.4,14.4,360,14.1,94,0.52,100,100,63,14,0.512,0.515,0.1
2024-04-05 11:00:00,13.6,15.9,11,16.7,86,0.503,100,100,83,82,0.516,0.515,0.24
2024-04-05 12:00:00,14.0,16.9,9,15.0,83,0.512,99,55,37,97,0.515,0.515,0.33
2024-04-05 13:00:00,14.0,18.8,24,10.8,73,0.511,100,0,100,100,0.515,0.515,0.58
2024-04-05 14:00:00,13.8,18.1,16,11.4,76,0.508,100,0,94,100,0.514,0.515,0.5
2024-04-05 15:00:00,13.8,18.1,7,15.6,76,0.505,100,0,100,100,0.513,0.514,0.49
2024-04-05 16:00:00,13.7,18.6,3,18.0,73,0.502,100,0,100,100,0.512,0.514,0.57
2024-04-05 17:00:00,13.5,18.1,352,18.4,75,0.5,100,0,100,100,0.511,0.514,0.52
2024-04-05 18:00:00,13.4,17.4,343,21.1,77,0.5,100,0,100,100,0.51,0.514,0.45
2024-04-05 19:00:00,13.4,16.5,348,21.6,82,0.505,100,0,100,98,0.509,0.514,0.33
2024-04-05 20:00:00,13.5,16.0,346,18.6,85,0.507,100,0,100,100,0.508,0.514,0.27
2024-04-05 21:00:00,13.4,14.2,336,22.3,95,0.502,100,0,100,100,0.51,0.516,0.08
2024-04-05 22:00:00,13.3,14.2,346,22.1,94,0.501,100,0,100,2,0.509,0.516,0.09
2024-04-05 23:00:00,13.2,13.8,344,21.7,96,0.5,35,4,7,31,0.507,0.516,0.06
2024-04-06 00:00:00,12.9,13.5,338,21.4,96,0.499,100,6,100,97,0.506,0.516,0.06
2024-04-06 01:00:00,12.9,13.6,338,20.2,95,0.497,100,7,99,100,0.505,0.515,0.07
2024-04-06 02:00:00,12.8,13.6,347,18.3,95,0.496,100,0,100,89,0.504,0.515,0.08
2024-04-06 03:00:00,12.8,13.5,346,18.8,96,0.495,100,99,100,63,0.502,0.515,0.07
2024-04-06 04:00:00,12.7,13.4,353,19.5,95,0.495,100,100,20,24,0.501,0.515,0.07
2024-04-06 05:00:00,12.5,13.1,358,18.0,96,0.494,100,100,74,20,0.5,0.515,0.06
2024-04-06 06:00:00,12.6,13.3,353,14.8,96,0.493,100,98,81,35,0.499,0.515,0.07
2024-04-06 07:00:00,12.5,13.6,341,19.0,93,0.492,100,94,98,100,0.498,0.514,0.1
2024-04-06 08:00:00,12.3,14.0,351,22.2,90,0.491,100,39,100,100,0.497,0.514,0.16
2024-04-06 09:00:00,12.5,13.6,339,18.9,93,0.517,100,77,100,100,0.493,0.515,0.11
2024-04-06 10:00:00,12.6,14.0,340,19.5,91,0.519,100,74,100,93,0.497,0.515,0.14
2024-04-06 11:00:00,13.1,14.7,348,16.2,90,0.518,100,63,100,30,0.506,0.515,0.17
2024-04-06 12:00:00,13.1,15.5,346,15.5,86,0.514,100,46,100,100,0.51,0.515,0.25
2024-04-06 13:00:00,12.9,15.5,342,17.8,85,0.511,100,0,100,99,0.51,0.514,0.27
2024-04-06 14:00:00,12.7,15.8,349,18.6,82,0.508,100,0,100,100,0.509,0.514,0.33
2024-04-06 15:00:00,12.6,15.7,351,17.8,82,0.505,100,0,100,100,0.508,0.514,0.32
2024-04-06 16:00:00,12.3,15.8,354,17.3,80,0.503,100,0,100,100,0.507,0.514,0.36
2024-04-06 17:00:00,12.1,15.8,357,18.0,79,0.501,100,0,100,81,0.506,0.514,0.38
2024-04-06 18:00:00,12.2,15.7,353,19.5,80,0.5,100,1,100,87,0.506,0.514,0.36
2024-04-06 19:00:00,12.2,15.4,354,18.4,81,0.498,100,98,83,12,0.505,0.514,0.32
2024-04-06 20:00:00,12.3,15.1,352,14.4,83,0.497,100,75,100,14,0.504,0.514,0.29
2024-04-06 21:00:00,12.1,13.9,341,16.9,89,0.502,100,0,100,100,0.491,0.514,0.18
2024-04-06 22:00:00,12.3,13.7,353,16.3,91,0.501,100,1,100,100,0.491,0.514,0.14
2024-04-06 23:00:00,12.5,13.7,341,12.8,93,0.499,100,0,100,100,0.49,0.514,0.11
2024-04-07 00:00:00,12.6,13.7,352,11.6,93,0.497,100,16,99,100,0.49,0.514,0.1
2024-04-07 01:00:00,12.7,13.4,328,11.0,96,0.496,100,0,100,100,0.49,0.513,0.07
2024-04-07 02:00:00,12.7,13.3,320,12.1,96,0.494,100,20,100,100,0.489,0.513,0.06
2024-04-07 03:00:00,12.7,13.5,338,13.6,95,0.493,100,23,100,100,0.489,0.513,0.07
2024-04-07 04:00:00,12.7,13.5,343,14.1,95,0.492,100,71,97,100,0.488,0.513,0.08
2024-04-07 05:00:00,12.8,13.5,3,13.7,95,0.491,100,86,33,100,0.488,0.513,0.07
2024-04-07 06:00:00,12.8,13.3,360,15.5,96,0.498,100,18,50,100,0.487,0.512,0.05
2024-04-07 07:00:00,12.9,13.6,354,16.2,96,0.496,100,1,9,100,0.487,0.512,0.07
2024-04-07 08:00:00,13.1,14.5,357,16.2,91,0.495,100,0,89,100,0.487,0.512,0.14
2024-04-07 09:00:00,13.2,14.7,339,14.0,91,0.491,100,30,100,100,0.486,0.512,0.15
2024-04-07 10:00:00,13.4,15.1,355,15.5,89,0.49,100,0,100,99,0.486,0.512,0.18
2024-04-07 11:00:00,13.5,16.5,355,15.9,82,0.489,100,0,100,100,0.485,0.511,0.33
2024-04-07 12:00:00,13.5,17.6,360,11.5,77,0.488,100,0,0,100,0.484,0.511,0.47
2024-04-07 13:00:00,13.9,18.7,355,10.1,74,0.487,100,0,14,100,0.484,0.511,0.57
2024-04-07 14:00:00,13.7,19.3,353,10.9,70,0.486,100,0,10,100,0.483,0.511,0.66
2024-04-07 15:00:00,13.7,19.3,353,10.9,70,0.484,100,0,7,100,0.482,0.51,0.66
2024-04-07 16:00:00,13.7,19.3,360,13.0,70,0.483,100,0,62,100,0.482,0.51,0.67
2024-04-07 17:00:00,13.6,18.8,6,14.9,72,0.482,100,0,97,100,0.481,0.51,0.62
2024-04-07 18:00:00,13.8,18.1,353,15.8,76,0.481,100,0,100,100,0.481,0.51,0.5
2024-04-07 19:00:00,13.8,17.5,328,15.8,79,0.481,100,4,99,100,0.48,0.51,0.43
2024-04-07 20:00:00,13.8,17.3,327,19.3,80,0.48,100,1,100,91,0.48,0.51,0.4
2024-04-07 21:00:00,13.5,16.1,330,16.6,85,0.487,100,1,100,89,0.476,0.514,0.28
2024-04-07 22:00:00,13.2,16.0,331,20.3,83,0.486,100,52,100,13,0.475,0.513,0.31
2024-04-07 23:00:00,13.0,16.0,326,17.7,83,0.485,100,2,100,100,0.475,0.513,0.31
2024-04-08 00:00:00,13.1,15.7,324,16.9,84,0.484,100,3,100,95,0.475,0.513,0.28
2024-04-08 01:00:00,13.2,15.6,331,16.6,86,0.483,100,22,100,3,0.475,0.513,0.25
2024-04-08 02:00:00,13.4,15.2,336,15.6,89,0.482,75,6,74,2,0.474,0.512,0.2
2024-04-08 03:00:00,13.5,14.8,330,17.1,92,0.481,69,19,59,5,0.474,0.512,0.14
2024-04-08 04:00:00,13.4,14.3,337,20.0,94,0.482,71,41,52,0,0.474,0.512,0.09
2024-04-08 05:00:00,13.4,14.5,338,21.7,93,0.482,90,0,90,1,0.474,0.512,0.11
2024-04-08 06:00:00,13.5,14.4,341,18.3,94,0.481,93,0,93,0,0.473,0.511,0.1
2024-04-08 07:00:00,13.8,15.0,338,17.7,93,0.48,100,0,100,0,0.473,0.511,0.13
2024-04-08 08:00:00,14.1,15.9,335,15.0,89,0.479,87,0,87,1,0.473,0.511,0.19
2024-04-08 09:00:00,13.8,17.4,334,16.7,80,0.483,66,0,16,60,0.472,0.51,0.4
2024-04-08 10:00:00,13.6,18.5,343,17.4,73,0.482,94,3,0,94,0.471,0.51,0.58
2024-04-08 11:00:00,13.2,19.6,347,20.0,66,0.481,99,5,4,99,0.471,0.51,0.77
2024-04-08 12:00:00,13.1,20.1,342,19.4,64,0.479,100,1,8,100,0.47,0.509,0.85
2024-04-08 13:00:00,12.9,20.9,345,21.1,60,0.477,100,0,0,100,0.469,0.509,0.99
