time,dew_point_2m (°C),temperature_2m (°C),wind_direction_10m (°),wind_speed_100m (km/h),relative_humidity_2m (%),soil_moisture_0_to_7cm (m³/m³),cloud_cover (%),cloud_cover_high (%),cloud_cover_mid (%),cloud_cover_low (%),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),vapour_pressure_deficit (kPa)
2024-04-01 00:00:00,16.9,19.8,111,23.4,84,0.486,95,95,0,0,0.497,0.507,0.38
2024-04-01 01:00:00,15.2,19.8,108,23.7,75,0.486,9,6,0,2,0.496,0.507,0.58
2024-04-01 02:00:00,14.4,19.6,109,26.7,72,0.485,0,0,0,0,0.496,0.507,0.64
2024-04-01 03:00:00,14.7,19.5,121,26.9,74,0.485,2,0,2,0,0.495,0.507,0.59
2024-04-01 04:00:00,14.7,19.7,126,28.5,73,0.485,87,85,15,0,0.495,0.507,0.62
2024-04-01 05:00:00,14.7,19.8,107,26.1,72,0.484,83,81,10,3,0.494,0.507,0.64
2024-04-01 06:00:00,14.7,19.5,113,26.9,74,0.484,85,84,3,0,0.494,0.507,0.59
2024-04-01 07:00:00,15.2,19.8,111,27.4,75,0.484,90,89,12,3,0.493,0.507,0.58
2024-04-01 08:00:00,16.3,21.2,108,28.9,74,0.483,99,99,8,11,0.493,0.507,0.66
2024-04-01 09:00:00,16.9,22.8,135,25.3,69,0.487,100,100,8,15,0.494,0.506,0.85
2024-04-01 10:00:00,18.3,23.2,119,14.6,74,0.492,100,100,18,15,0.493,0.506,0.74
2024-04-01 11:00:00,19.3,23.2,90,13.2,79,0.498,100,100,25,27,0.493,0.506,0.6
2024-04-01 12:00:00,19.7,23.5,118,22.8,79,0.498,100,100,53,14,0.493,0.506,0.6
2024-04-01 13:00:00,19.9,24.7,117,19.7,75,0.496,100,100,69,11,0.493,0.506,0.79
2024-04-01 14:00:00,20.2,25.7,138,21.1,71,0.493,100,100,88,13,0.492,0.506,0.94
2024-04-01 15:00:00,20.8,25.4,144,19.7,76,0.501,100,100,46,12,0.492,0.505,0.79
