time,dew_point_2m (°C),temperature_2m (°C),wind_direction_10m (°),wind_speed_100m (km/h),relative_humidity_2m (%),soil_moisture_0_to_7cm (m³/m³),cloud_cover (%),cloud_cover_high (%),cloud_cover_mid (%),cloud_cover_low (%),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),vapour_pressure_deficit (kPa)
2024-04-01 00:00:00,17.2,19.9,103,18.5,84,0.476,54,54,0,0,0.49,0.468,0.37
2024-04-01 01:00:00,15.6,19.4,103,18.7,79,0.476,0,0,0,0,0.489,0.468,0.48
2024-04-01 02:00:00,14.1,19.3,77,20.2,72,0.476,1,0,1,0,0.489,0.468,0.62
2024-04-01 03:00:00,14.0,19.1,95,20.9,72,0.476,16,7,9,0,0.489,0.468,0.61
2024-04-01 04:00:00,14.0,19.0,125,23.0,73,0.476,36,25,12,7,0.488,0.468,0.6
2024-04-01 05:00:00,14.2,19.5,126,24.0,72,0.476,92,90,14,2,0.488,0.468,0.64
2024-04-01 06:00:00,14.2,19.4,105,21.1,72,0.476,98,97,14,8,0.488,0.468,0.63
2024-04-01 07:00:00,14.8,20.0,97,20.7,72,0.475,100,100,13,5,0.487,0.468,0.65
2024-04-01 08:00:00,16.5,21.4,86,22.2,74,0.475,98,97,3,0,0.487,0.468,0.67
2024-04-01 09:00:00,17.5,23.2,132,21.3,70,0.478,100,100,16,13,0.488,0.469,0.84
2024-04-01 10:00:00,18.2,23.6,136,25.2,72,0.477,100,100,3,3,0.488,0.469,0.82
2024-04-01 11:00:00,19.1,23.7,128,20.4,76,0.479,100,100,32,4,0.487,0.469,0.71
2024-04-01 12:00:00,19.5,24.5,127,20.5,74,0.478,100,100,17,9,0.487,0.469,0.81
2024-04-01 13:00:00,19.9,24.8,127,22.5,74,0.478,100,100,30,5,0.486,0.469,0.81
2024-04-01 14:00:00,20.5,25.7,150,22.9,73,0.477,100,100,53,72,0.485,0.468,0.89
2024-04-01 15:00:00,21.0,25.0,139,17.3,79,0.478,95,95,13,9,0.485,0.468,0.67
2024-04-01 16:00:00,21.3,26.4,134,17.8,74,0.477,81,53,4,57,0.484,0.468,0.9
2024-04-01 17:00:00,21.1,26.3,137,20.2,73,0.476,80,22,27,72,0.484,0.468,0.93
2024-04-01 18:00:00,20.7,23.4,147,31.1,85,0.478,85,57,43,63,0.484,0.468,0.44
2024-04-01 19:00:00,20.4,21.6,131,25.0,93,0.52,91,75,45,51,0.492,0.468,0.19
2024-04-01 20:00:00,20.2,21.6,119,21.0,92,0.507,91,73,62,27,0.518,0.469,0.21
2024-04-01 21:00:00,20.1,21.7,133,29.3,91,0.501,100,100,24,34,0.498,0.468,0.24
2024-04-01 22:00:00,20.1,21.1,127,24.7,94,0.502,100,100,40,91,0.504,0.468,0.16
2024-04-01 23:00:00,19.9,21.3,151,32.2,92,0.501,100,100,9,37,0.504,0.469,0.2
2024-04-02 00:00:00,19.9,21.3,148,29.8,92,0.5,100,100,36,45,0.503,0.469,0.21
2024-04-02 01:00:00,20.0,20.6,67,15.5,96,0.52,100,100,46,80,0.52,0.473,0.09
2024-04-02 02:00:00,19.7,20.1,67,20.3,98,0.52,100,100,67,100,0.52,0.489,0.05
2024-04-02 03:00:00,19.6,20.5,80,17.8,94,0.516,100,100,23,100,0.519,0.5,0.14
2024-04-02 04:00:00,19.7,21.2,160,38.4,91,0.51,100,100,77,14,0.517,0.501,0.23
2024-04-02 05:00:00,20.0,21.6,169,42.2,91,0.507,93,55,5,84,0.516,0.502,0.24
2024-04-02 06:00:00,19.8,21.5,159,42.2,90,0.504,28,10,3,18,0.514,0.502,0.25
2024-04-02 07:00:00,20.2,22.4,171,42.7,88,0.502,15,5,0,10,0.513,0.503,0.33
2024-04-02 08:00:00,21.4,24.9,182,41.9,81,0.5,30,1,9,22,0.512,0.503,0.6
2024-04-02 09:00:00,20.3,21.2,106,18.7,95,0.52,100,96,36,100,0.519,0.519,0.13
2024-04-02 10:00:00,20.1,21.7,132,11.7,91,0.517,100,100,45,100,0.512,0.519,0.24
2024-04-02 11:00:00,20.1,21.9,156,11.9,90,0.52,100,100,61,76,0.51,0.519,0.27
2024-04-02 12:00:00,19.9,21.1,45,1.4,93,0.52,100,100,37,100,0.502,0.52,0.19
2024-04-02 13:00:00,19.8,21.1,146,19.7,92,0.504,100,99,12,90,0.502,0.52,0.19
2024-04-02 14:00:00,20.6,23.6,175,26.4,83,0.501,99,98,5,55,0.489,0.519,0.49
2024-04-02 15:00:00,21.0,24.1,163,28.1,83,0.498,97,96,2,23,0.488,0.518,0.52
2024-04-02 16:00:00,21.0,24.1,172,22.1,83,0.495,72,67,1,15,0.487,0.517,0.52
2024-04-02 17:00:00,21.4,24.0,153,18.9,85,0.493,99,98,47,24,0.486,0.517,0.43
2024-04-02 18:00:00,21.7,23.3,212,8.2,91,0.492,90,89,1,10,0.485,0.516,0.26
2024-04-02 19:00:00,20.5,21.8,170,25.4,92,0.491,99,97,16,79,0.484,0.516,0.2
2024-04-02 20:00:00,19.2,21.4,229,15.6,87,0.49,100,100,8,100,0.484,0.515,0.33
2024-04-02 21:00:00,20.3,20.7,10,17.9,98,0.508,100,100,16,11,0.516,0.518,0.05
2024-04-02 22:00:00,20.1,20.4,3,12.6,98,0.506,100,100,32,41,0.514,0.518,0.04
2024-04-02 23:00:00,20.1,20.3,326,7.6,98,0.504,100,95,42,95,0.512,0.518,0.04
2024-04-03 00:00:00,19.9,20.4,342,10.5,97,0.502,99,99,12,23,0.51,0.517,0.07
2024-04-03 01:00:00,19.6,19.9,324,13.5,98,0.5,92,90,17,10,0.508,0.517,0.05
2024-04-03 02:00:00,19.3,19.7,304,18.1,98,0.499,100,100,1,10,0.507,0.517,0.06
